,Screen_name,URL,Screen_number,Seats,Size,Sound
0,TOHO CINEMAS OIRASE SHIMODA,https://www.tohotheater.jp/theater/049/institution.html,SCREEN 1,360+(2),5.2×12.6m,デジタル5.1ch
1,TOHO CINEMAS OIRASE SHIMODA,https://www.tohotheater.jp/theater/049/institution.html,SCREEN 2,251+(2),5.2×12.5m,デジタル5.1ch
2,TOHO CINEMAS OIRASE SHIMODA,https://www.tohotheater.jp/theater/049/institution.html,SCREEN 3,147+(2),3.7×8.8m,デジタル5.1ch
3,TOHO CINEMAS OIRASE SHIMODA,https://www.tohotheater.jp/theater/049/institution.html,SCREEN 4,188+(2),3.7×8.8m,デジタル5.1ch
4,TOHO CINEMAS OIRASE SHIMODA,https://www.tohotheater.jp/theater/049/institution.html,SCREEN 5,163+(2),3.7×8.8m,デジタル5.1ch
5,TOHO CINEMAS OIRASE SHIMODA,https://www.tohotheater.jp/theater/049/institution.html,SCREEN 6,172+(2),3.7×8.8m,デジタル5.1ch
6,TOHO CINEMAS OIRASE SHIMODA,https://www.tohotheater.jp/theater/049/institution.html,SCREEN 7,151+(2),3.7×8.8m,デジタル5.1ch
7,TOHO CINEMAS AKITA,https://www.tohotheater.jp/theater/050/institution.html,SCREEN 1,347+(4),5.2×12.3m,デジタル5.1ch
8,TOHO CINEMAS AKITA,https://www.tohotheater.jp/theater/050/institution.html,SCREEN 2,424+(4),5.5×13.3m,デジタル5.1ch
9,TOHO CINEMAS AKITA,https://www.tohotheater.jp/theater/050/institution.html,SCREEN 3,117+(2),4.0×7.5m,デジタル5.1ch
10,TOHO CINEMAS AKITA,https://www.tohotheater.jp/theater/050/institution.html,SCREEN 4,143+(2),4.4×8.2m,デジタル5.1ch
11,TOHO CINEMAS AKITA,https://www.tohotheater.jp/theater/050/institution.html,SCREEN 5,185+(2),4.7×8.7m,デジタル5.1ch
12,TOHO CINEMAS AKITA,https://www.tohotheater.jp/theater/050/institution.html,SCREEN 6,143+(2),4.4×8.2m,デジタル5.1ch
13,TOHO CINEMAS AKITA,https://www.tohotheater.jp/theater/050/institution.html,SCREEN 7,185+(2),4.7×8.7m,デジタル5.1ch
14,TOHO CINEMAS AKITA,https://www.tohotheater.jp/theater/050/institution.html,SCREEN 8,117+(2),3.9×7.3m,デジタル5.1ch
15,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 1,103+(2),3.6×8.6m,デジタル5.1ch
16,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 2,91+(2),3.4×8.0m,デジタル5.1ch
17,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 3,106+(2),3.4×8.0m,デジタル5.1ch
18,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 4,134+(2),3.8×9.0m,デジタル5.1ch
19,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 5,216+(2),5.5×13.1m,デジタル5.1ch
20,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 6,364+(2),IMAX®デジタルシアター,
21,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 7,197+(2),5.4×12.9m,デジタル5.1ch
22,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 8,154+(2),4.1×9.9m,デジタル5.1ch
23,TOHO CINEMAS SENDAI,https://www.tohotheater.jp/theater/078/institution.html,SCREEN 9,296+(2),6.3×15.0m　TCX®,DOLBY ATMOS(対応作品のみ)
24,TOHO CINEMAS HIBIYA,https://www.tohotheater.jp/theater/081/institution05.html,SCREEN 1,456+(3),19.8×8.3m　TCX®,カスタムオーダーメイドスピーカー
25,TOHO CINEMAS HIBIYA,https://www.tohotheater.jp/theater/081/institution05.html,SCREEN 2,98+(2),8.2×3.4m,デジタル5.1ch
26,TOHO CINEMAS HIBIYA,https://www.tohotheater.jp/theater/081/institution05.html,SCREEN 3,98+(2),8.1×3.4m,デジタル5.1ch
27,TOHO CINEMAS HIBIYA,https://www.tohotheater.jp/theater/081/institution05.html,SCREEN 4,339+(2),IMAX®デジタルシアター,イマーシブ・サウンド
28,TOHO CINEMAS HIBIYA,https://www.tohotheater.jp/theater/081/institution05.html,SCREEN 5,395+(2),16.5×6.9m　TCX®,DOLBY ATMOS(対応作品のみ)　VIVEオーディオ
29,TOHO CINEMAS HIBIYA,https://www.tohotheater.jp/theater/081/institution05.html,SCREEN 6,98+(2),6.3×2.6m,スカルプトサウンド
30,TOHO CINEMAS HIBIYA,https://www.tohotheater.jp/theater/081/institution05.html,SCREEN 7,151+(2),11.8×4.9m,VIVEオーディオ
